"Env"	"GG"	"Y"	"tj"	"xj"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"	"residShukla"
"2001-2002-Barisal"	"Short-BR1"	"2001-2002"	2001	1970	"Barisal"	"BR1"	"Short"	6.55666666666667	6.55666666666667	0.24716467715379	0.0610903776325371	16.3691900222826	-0.0372500199012995
"2001-2002-Bhanga"	"Short-BR1"	"2001-2002"	2001	1970	"Bhanga"	"BR1"	"Short"	5.7	5.7	0.285697556310732	0.0816230936819241	12.2514346723598	-0.0858719695821728
"2001-2002-Comilla"	"Short-BR1"	"2001-2002"	2001	1970	"Comilla"	"BR1"	"Short"	6.28666666666667	6.28666666666667	0.161967074843428	0.0262333333333367	38.1194409148617	0.0681541730883692
"2001-2002-Habiganj"	"Short-BR1"	"2001-2002"	2001	1970	"Habiganj"	"BR1"	"Short"	5.53	5.53	0.180123313687115	0.0324444081336268	30.8219523031939	0.0589902098699131
"2001-2002-Rajshahi"	"Short-BR1"	"2001-2002"	2001	1970	"Rajshahi"	"BR1"	"Short"	5.4	5.4	0.362854014149783	0.131663035584611	7.59514616657434	0.0245855500706051
"2001-2002-Rangpur"	"Short-BR1"	"2001-2002"	2001	1970	"Rangpur"	"BR1"	"Short"	5.37333333333333	5.37333333333333	0.303329921693115	0.0920090413943512	10.8684971046921	-0.181765627465007
"2001-2002-Satkhira"	"Short-BR1"	"2001-2002"	2001	1970	"Satkhira"	"BR1"	"Short"	5.23666666666667	5.23666666666667	0.0580189161050427	0.00336619462600399	297.071355374095	-0.00296938291047866
"2002-2003-Barisal"	"Short-BR1"	"2002-2003"	2002	1970	"Barisal"	"BR1"	"Short"	4.47666666666667	4.47666666666667	0.313910433640852	0.098539760348588	10.1481878630764	0.00112522779044166
"2002-2003-Bhanga"	"Short-BR1"	"2002-2003"	2002	1970	"Bhanga"	"BR1"	"Short"	5.13	5.13	0.30608919532951	0.0936905954974667	10.6734298644418	-0.180613401815286
"2002-2003-Comilla"	"Short-BR1"	"2002-2003"	2002	1970	"Comilla"	"BR1"	"Short"	4.73333333333333	4.73333333333333	0.215096624181339	0.0462665577342084	21.6138837417901	-0.0419190527460813
"2002-2003-Gazipur"	"Short-BR1"	"2002-2003"	2002	1970	"Gazipur"	"BR1"	"Short"	4.42333333333333	4.42333333333333	0.322315233364283	0.103887109658672	9.6258333039158	0.00402177304542661
"2002-2003-Habiganj"	"Short-BR1"	"2002-2003"	2002	1970	"Habiganj"	"BR1"	"Short"	5.26666666666667	5.26666666666667	0.258666557172678	0.0669083877995662	14.9458092309091	0.0298990138351432
"2002-2003-Rajshahi"	"Short-BR1"	"2002-2003"	2002	1970	"Rajshahi"	"BR1"	"Short"	3	3	0.460137052931002	0.211726107480027	4.72308309968024	-0.523913770464496
"2002-2003-Rangpur"	"Short-BR1"	"2002-2003"	2002	1970	"Rangpur"	"BR1"	"Short"	3.33666666666667	3.33666666666667	0.215484372722109	0.0464335148874406	21.5361684857176	-0.0212879326720796
"2002-2003-Satkhira"	"Short-BR1"	"2002-2003"	2002	1970	"Satkhira"	"BR1"	"Short"	4.45	4.45	0.11216121424592	0.0125801379811192	79.4903840880635	-0.00658221095450795
"2003-2004-Barisal"	"Short-BR1"	"2003-2004"	2003	1970	"Barisal"	"BR1"	"Short"	4.76333333333333	4.76333333333333	0.432998446095344	0.187487654320983	5.33368452243783	0.184943999462245
"2003-2004-Bhanga"	"Short-BR1"	"2003-2004"	2003	1970	"Bhanga"	"BR1"	"Short"	3.43	3.43	0.438643805153522	0.192408387799561	5.19727861886009	-0.64540721755045
"2003-2004-Comilla"	"Short-BR1"	"2003-2004"	2003	1970	"Comilla"	"BR1"	"Short"	4.25666666666667	4.25666666666667	0.216915392680404	0.047052287581694	21.2529517988634	-0.0487646880052255
"2003-2004-Gazipur"	"Short-BR1"	"2003-2004"	2003	1970	"Gazipur"	"BR1"	"Short"	2.43333333333333	2.43333333333333	0.270899547796538	0.0733865649963686	13.626472366563	-0.0794659660178842
"2003-2004-Habiganj"	"Short-BR1"	"2003-2004"	2003	1970	"Habiganj"	"BR1"	"Short"	3.88	3.88	0.258788375674349	0.0669714233841678	14.93174177087	-0.213290263025921
"2003-2004-Rajshahi"	"Short-BR1"	"2003-2004"	2003	1970	"Rajshahi"	"BR1"	"Short"	1.66333333333333	1.66333333333333	0.371865061305709	0.138283623819899	7.2315142775142	-0.307516103890817
"2003-2004-Rangpur"	"Short-BR1"	"2003-2004"	2003	1970	"Rangpur"	"BR1"	"Short"	4.26333333333333	4.26333333333333	0.233734404759005	0.0546317719680465	18.3043669274518	-0.0206995005724826
"2003-2004-Satkhira"	"Short-BR1"	"2003-2004"	2003	1970	"Satkhira"	"BR1"	"Short"	5.37	5.37	0.116453431025753	0.0135614015976699	73.7386908571322	-0.00927069869265296
"2004-2005-Barisal"	"Short-BR1"	"2004-2005"	2004	1970	"Barisal"	"BR1"	"Short"	5.24	5.24	0.283980613962915	0.080644989106754	12.400026475002	-0.110782663177059
"2004-2005-Bhanga"	"Short-BR1"	"2004-2005"	2004	1970	"Bhanga"	"BR1"	"Short"	6.66666666666667	6.66666666666667	0.161453658833138	0.0260672839506074	38.3622628999174	0.0164409270776913
"2004-2005-Comilla"	"Short-BR1"	"2004-2005"	2004	1970	"Comilla"	"BR1"	"Short"	5.89	5.89	0.248496495652324	0.0617505083514855	16.1941986664786	-0.0271020505368984
"2004-2005-Gazipur"	"Short-BR1"	"2004-2005"	2004	1970	"Gazipur"	"BR1"	"Short"	4.3	4.3	0.227098540895112	0.0515737472766889	19.3897099358533	0.0214068622484644
"2004-2005-Habiganj"	"Short-BR1"	"2004-2005"	2004	1970	"Habiganj"	"BR1"	"Short"	4.68666666666667	4.68666666666667	0.20023669726353	0.0400947349310067	24.9409305665883	-0.048477187776073
"2004-2005-Kustia"	"Short-BR1"	"2004-2005"	2004	1970	"Kustia"	"BR1"	"Short"	6	6	0.0878815470024954	0.00772316630355181	129.480573212584	0.00801831421991128
"2004-2005-Rajshahi"	"Short-BR1"	"2004-2005"	2004	1970	"Rajshahi"	"BR1"	"Short"	5.68666666666667	5.68666666666667	0.271056929655026	0.0734718591140098	13.6106532767635	0.14100063974713
"2004-2005-Rangpur"	"Short-BR1"	"2004-2005"	2004	1970	"Rangpur"	"BR1"	"Short"	5.21333333333333	5.21333333333333	0.183542859077602	0.0336879811183805	29.6841771694769	0.0527863682835852
